"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Belarus","BLR","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.7628770901185","18.6398345818294","18.0346732416064","17.3759785738719","17.5519314251894","17.2128873509204","16.2381992313302","15.4903227221655","14.9737112889406","14.3822382990184","13.8595221717251","13.2805832757479","12.6538034432736","11.8740338499346","11.1577209753987","10.4579912597352","9.83342666071767","9.17419941948186","8.89619510237524","8.35551083588759","7.94358789893452","7.63667198723065","7.39441475927014","7.09495802502249","6.72199432957951","6.65896523738894","7.26088121331792","7.6891738551593","7.52855369826684","7.38826586728659","7.77501588702409","7.03746854440101","6.92244929119807","6.6287441736699","6.40812754447998",
"Belize","BLZ","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.43350020294953","6.3543210672166","6.26246261216351","6.09966695448378","5.97569608305805","5.08828868474614","6.29516036804076","5.21145439363426","6.21207208041877","5.63643308857858","5.08939774153074","4.5843248066627","4.03369743699579","3.57888968800301","3.1700572782935","3.37325837203618","3.59032716927454","3.79112440384771","3.95705679419185","4.12739041618469","4.30831528392504","4.4680659400054","4.66630727762803","4.82070965184922","4.53175106092901","4.5548502753032","5.19137238316769","5.38945647731917","7.01042008777954","7.38349766476388","7.5950721175275","7.25965398934229","7.09494189186835","6.93313978606114","6.79341302991022",
"Bermuda","BMU","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.1490777079414","40.6426312276466","31.1113392705291","30.1465927009605","38.2231091299919","37.4984996566078","37.5264289504579","36.4635731109727","35.7702203527352","33.5679270902856","38.4248966280092","34.9886008225738","30.5980260909817","30.5978605206373","35.2407716591343","35.2769761484441","34.4543347684438","27.7920020297986","27.2903561881343","29.8175909090664","32.1200270539843","28.6863179346843","30.6691083565924","28.4380543784643","27.8623757556167","27.3576095746637","28.6898654583657","29.0907087831911","25.6237022162199","27.6994282397864","27.8825221050872","24.8217095166992","25.0318027738874","24.8130210968031","24.5390892541152",
"Brazil","BRA","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.74585482783486","7.25402336555621","7.40771561855914","7.18734830699154","7.63600984767246","6.52790226717703","6.69134298157274","6.53423887706735","6.93323826921898","7.86977853419409","8.99401658405619","9.40408762561999","9.08321093480307","9.16342111630403","9.16538946094109","8.34729832698669","7.4833960833501","6.80770739716162","6.03156604705053","5.50304848188389","5.03953674291407","5.05936651828426","5.11106407879791","4.69342764525696","4.5985625370515","4.58172287612681","4.16335745134554","4.07539456703253","3.97894696359558","4.37073597386259","4.5802428180644","3.97988064125116","3.49366518630801","3.22682647872417","3.1991144311011",
"Barbados","BRB","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.70820952542661","2.5724907063197","2.8456595095321","2.60322587500266","2.21538580605216","2.66532199971186","2.43827160493827","2.25627776106461","1.98009730957669","2.05158651626097","2.18615217462878","1.88534240303486","2.20770992738438","2.15719844357977","1.50510994115825","2.30349013657056","2.20675355450237","2.23457046920037","1.77296013067043","1.75864431009322","1.67105483434033","1.59846941924335","1.65949049156799","1.62802773450625","1.60148196838866","1.86192774608747","1.78800606697002","1.68417958703799","1.01742925687198","1.44954184671018","1.81686731839185","2.17491968859433","0.834538141112813","0.795375459826438","0.762138555076642",
"Brunei Darussalam","BRN","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.82899493853941","2.4834247828075","2.1568308676096","1.87103240895423","1.61144835320217","1.39338950097213","1.20015826262804","1.01893503504551","0.879619494915322","0.752335651613637","0.639092993446589","0.621150524313855","0.606285781838448","0.59275269767975","0.580396896069202","0.567136962803851","0.552303270177128","0.541198556803849","0.522827267013314","0.513325656571262","0.506038728830713","0.49255879673036","0.477580948673026","0.464552357858465","0.452488687782805","0.442112118631331","0.43175642982097","0.52959653266454","0.688698470377372","0.632144094215449","0.293178862749734","0.958663566038631","0.995740696333345","0.96367847257527","0.927808417671043",
"Bhutan","BTN","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.6570801517992","74.0908663785003","73.5606078909855","73.2485973292673","72.8066015365646","72.4262954225884","72.0445622630113","71.6637511939129","71.2927795896462","70.9732816805783","70.7101475819123","70.299730031051","69.945893634804","69.5785966786196","69.07262551681","68.8018074043752","68.1629292167516","67.7804510601938","66.9866541793491","66.090756941247","68.328191567504","67.0358382945102","66.3034505530791","66.8826574015917","66.4369168697991","65.3148394107703","64.6976938079712","63.8817000124634","62.4631244737806","59.3824005398684","59.1185664177146","54.7018297651678","52.7843498214205","52.1550844430838","51.2700585118405",
"Botswana","BWA","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.56917584620378","6.43267133148501","6.3298198650382","6.18323734372423","5.94600670922548","5.72217407026869","6.30406550593207","6.94042184585461","8.32457751112071","9.90708404380454","3.05466611518782","4.53448529953577","6.63410496360751","8.68229097753667","11.1664569491308","14.0105967232827","13.0833970925784","12.3526215141635","11.8086180330482","11.1345541540103","10.7055740043537","10.6913115170791","10.0722552592877","9.66355151926241","9.79861171152255","9.32829374304758","9.07133004049303","8.83229344248582","8.55597193654729","13.5147678595108","10.3478683594677","9.03124115251432","7.48164034242391","7.57124370303289","7.57561131366536",
"Central African Republic","CAF","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.782905639532","64.2921655176197","64.7294367758724","64.6857286625523","64.2421129463924","65.2274025574549","65.0136720050965","64.8782883059232","64.9959198389182","65.7863547758285","65.5387229006795","65.4438338384229","66.5258295552184","66.1113374296998","66.2497497532049","65.8749304891265","65.5819132081947","65.7341736504774","64.5783269804442","63.8863185894082","63.6035953184733","63.3634283198345","66.7482736327506","66.8355566873229","66.4093829559912","66.1067469845062","65.7923830728143","65.2281746031746","65.0433880028728","67.012317785946","68.165240178872","68.0964416924277","68.063131538943","68.383016762258","68.5137372795524",
